0,3.4743
10,1.77332
20,1.71614
30,1.67487
40,1.64328
50,1.61739
60,1.59533
70,1.57616
80,1.5593
90,1.54429
100,1.53079
110,1.51864
120,1.50765
130,1.49763
140,1.48837
150,1.47975
160,1.47166
170,1.46404
180,1.45683
190,1.44999
200,1.44348
210,1.43729
220,1.43141
230,1.4258
240,1.42047
250,1.41541
260,1.41058
270,1.406
280,1.40163
290,1.39746
300,1.39349
310,1.3897
320,1.38607
330,1.3826
340,1.37927
350,1.37608
360,1.37302
370,1.37007
380,1.36722
390,1.36448
400,1.36183
410,1.35926
420,1.35678
430,1.35437
440,1.35202
450,1.34974
460,1.34752
470,1.34535
480,1.34323
490,1.34116
500,1.33913
510,1.33714
520,1.3352
530,1.33328
540,1.3314
550,1.32955
560,1.32773
570,1.32594
580,1.32418
590,1.32244
600,1.32072
610,1.31902
620,1.31734
630,1.31569
640,1.31405
650,1.31243
660,1.31083
670,1.30924
680,1.30767
690,1.30611
700,1.30456
710,1.30303
720,1.30152
730,1.30001
740,1.29852
750,1.29703
760,1.29556
770,1.2941
780,1.29265
790,1.29121
800,1.28978
810,1.28835
820,1.28694
830,1.28553
840,1.28413
850,1.28274
860,1.28135
870,1.27998
880,1.27861
890,1.27724
900,1.27588
910,1.27453
920,1.27318
930,1.27184
940,1.2705
950,1.26917
960,1.26785
970,1.26653
980,1.26521
990,1.26390
