5, 0.0846702, 0.266891, 0.63
7, 0.017136, 0.214347, 0.71
9, 0.0164933, 0.189934, 0.68
11, 0.0107273, 0.194012, 0.68
13, 0.00259636, 0.199801, 0.71
15, 0.00372163, 0.192368, 0.74
17, 0.00298213, 0.149951, 0.75
19, 0.00290147, 0.205602, 0.77
21, 0.00163227, 0.173821, 0.79
23, 0.00148641, 0.159841, 0.74
25, 0.000910197, 0.180719, 0.76
27, 0.00146193, 0.177975, 0.7
29, 0.00109394, 0.192542, 0.73
31, 0.000766303, 0.173463, 0.77
33, 0.000536157, 0.175039, 0.75
35, 0.000835658, 0.193406, 0.75
37, 0.000405652, 0.152737, 0.81
39, 0.000636711, 0.147422, 0.78
41, 0.000526486, 0.155995, 0.81
43, 0.00041495, 0.172602, 0.78
45, 0.000433218, 0.164693, 0.77
47, 0.000432659, 0.171257, 0.78
49, 0.000425289, 0.188135, 0.79
51, 0.000340596, 0.196536, 0.77
53, 0.000322778, 0.174525, 0.76
55, 0.000325945, 0.181678, 0.77
57, 0.000276169, 0.200516, 0.71
59, 0.000277423, 0.186003, 0.8
