20, 0.000363284, 0.453994, 0.4
40, 0.00325702, 0.419606, 0.36
60, 0.00228803, 0.450569, 0.44
80, 0.00656236, 0.382105, 0.45
100, 0.00713089, 0.393542, 0.49
120, 0.0110439, 0.35527, 0.5
140, 0.00991861, 0.315787, 0.55
160, 0.0327491, 0.352197, 0.53
180, 0.056229, 0.277967, 0.47
200, 0.0174025, 0.308534, 0.61
220, 0.0454668, 0.323816, 0.59
240, 0.0486059, 0.278715, 0.56
260, 0.0567615, 0.255475, 0.55
280, 0.0644944, 0.28521, 0.58
300, 0.0559522, 0.319999, 0.52
320, 0.0661049, 0.236572, 0.54
340, 0.0818644, 0.28384, 0.54
360, 0.102983, 0.283218, 0.55
380, 0.0956337, 0.335332, 0.6
400, 0.131066, 0.267099, 0.56
420, 0.0998379, 0.32337, 0.65
440, 0.14643, 0.282304, 0.57
460, 0.121393, 0.284018, 0.54
480, 0.110007, 0.30334, 0.62
500, 0.135759, 0.286364, 0.57
520, 0.133823, 0.260664, 0.66
540, 0.16728, 0.258712, 0.73
560, 0.14698, 0.247103, 0.69
580, 0.16181, 0.272797, 0.72
600, 0.15193, 0.268005, 0.72
620, 0.146508, 0.233472, 0.83
640, 0.172788, 0.243411, 0.81
660, 0.15226, 0.194593, 0.7
680, 0.189555, 0.181558, 0.67
700, 0.156351, 0.195302, 0.67
