20, 5.50604e-05, 0.353684, 0.44
40, 9.39645e-05, 0.283643, 0.57
60, 0.000179425, 0.358588, 0.61
80, 0.000489722, 0.370535, 0.61
100, 0.000450814, 0.292937, 0.58
120, 0.000278737, 0.218089, 0.69
140, 0.00101858, 0.234827, 0.66
160, 0.00278017, 0.22716, 0.66
180, 0.00202877, 0.211788, 0.67
200, 0.00226317, 0.177129, 0.68
220, 0.00638578, 0.239199, 0.74
240, 0.00216131, 0.194498, 0.76
260, 0.00481538, 0.165412, 0.7
280, 0.0094887, 0.211984, 0.68
300, 0.00502892, 0.217053, 0.77
320, 0.0078874, 0.248952, 0.75
340, 0.00628295, 0.164093, 0.71
360, 0.00204988, 0.16668, 0.77
380, 0.00325278, 0.201714, 0.66
400, 0.00786973, 0.16051, 0.8
420, 0.00542627, 0.21641, 0.77
440, 0.0045464, 0.184324, 0.75
460, 0.0094454, 0.190187, 0.77
480, 0.00599931, 0.18423, 0.86
500, 0.0069671, 0.177459, 0.78
520, 0.00672713, 0.170374, 0.83
540, 0.00836293, 0.168432, 0.79
560, 0.00960702, 0.18533, 0.81
580, 0.0163207, 0.2179, 0.82
600, 0.00976831, 0.170309, 0.84
620, 0.00893215, 0.166291, 0.87
640, 0.00919023, 0.152668, 0.88
660, 0.0120979, 0.150892, 0.88
680, 0.013724, 0.111705, 0.87
700, 0.0149735, 0.0993177, 0.83
